START_DATE,START_DATE,START_TIME,END_DATE,END_DATE,END_TIME,TIME DIFF(MINS),HOURS,CATEGORY,START,STOP,MILES,SPEED,PURPOSE
01-01-2016 21:11,01-01-2016,09:11:00 PM,01-01-2016 21:17,01-01-2016,09:17:00 PM,12:06:00 AM,0.10,Business,Fort Pierce,Fort Pierce,5.1,51.0,Meal/Entertain
01-02-2016 01:25,02-01-2016,01:25:00 AM,01-02-2016 01:37,02-01-2016,01:37:00 AM,12:12:00 AM,0.20,Business,Fort Pierce,Fort Pierce,5,25.0,Unknown
01-02-2016 20:25,02-01-2016,08:25:00 PM,01-02-2016 20:38,02-01-2016,08:38:00 PM,12:13:00 AM,0.22,Business,Fort Pierce,Fort Pierce,4.8,22.2,Errand/Supplies
01-05-2016 17:31,05-01-2016,05:31:00 PM,01-05-2016 17:45,05-01-2016,05:45:00 PM,12:14:00 AM,0.23,Business,Fort Pierce,Fort Pierce,4.7,20.1,Meeting
01-06-2016 14:42,06-01-2016,02:42:00 PM,01-06-2016 15:49,06-01-2016,03:49:00 PM,01:07:00 AM,1.12,Business,Fort Pierce,West Palm Beach,63.7,57.0,Customer Visit
01-06-2016 17:15,06-01-2016,05:15:00 PM,01-06-2016 17:19,06-01-2016,05:19:00 PM,12:04:00 AM,0.07,Business,West Palm Beach,West Palm Beach,4.3,64.5,Meal/Entertain
01-06-2016 17:30,06-01-2016,05:30:00 PM,01-06-2016 17:35,06-01-2016,05:35:00 PM,12:05:00 AM,0.08,Business,West Palm Beach,Palm Beach,7.1,85.2,Meeting
01-07-2016 13:27,07-01-2016,01:27:00 PM,01-07-2016 13:33,07-01-2016,01:33:00 PM,12:06:00 AM,0.10,Business,Cary,Cary,0.8,8.0,Meeting
01-10-2016 08:05,10-01-2016,08:05:00 AM,01-10-2016 08:25,10-01-2016,08:25:00 AM,12:20:00 AM,0.33,Business,Cary,Morrisville,8.3,24.9,Meeting
01-10-2016 12:17,10-01-2016,12:17:00 PM,01-10-2016 12:44,10-01-2016,12:44:00 PM,12:27:00 AM,0.45,Business,Jamaica,New York,16.5,36.7,Customer Visit
